unit,mean,std,n,individual_ratings
ABBY,2.5862,0.9291,29,"[3, 3, 3, 2, 3, 2, 3, 3, 4, 3, 1, 3, 2, 3, 2, 1, 3, 3, 1, 2, 2, 4, 3, 1, 4, 4, 1, 3, 3]"
ABDUCTION,3.4483,1.6523,29,"[1, 1, 5, 5, 5, 2, 2, 5, 5, 2, 5, 1, 4, 5, 3, 4, 5, 5, 1, 5, 1, 5, 4, 5, 2, 4, 5, 2, 1]"
ABIDE,2.3,0.9,30,"[1, 2, 3, 1, 1, 3, 4, 3, 3, 3, 2, 2, 3, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 2, 2, 1, 3, 2, 1]"
ABIGAIL,2.6667,0.9068,30,"[5, 3, 3, 3, 3, 3, 1, 1, 3, 3, 4, 3, 2, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 2]"
ABNER,2.4667,0.763,30,"[1, 3, 2, 3, 3, 3, 1, 1, 3, 3, 3, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2]"
ABSENT,1.9667,0.9123,30,"[1, 3, 2, 2, 2, 2, 1, 5, 1, 2, 1, 2, 1, 2, 4, 2, 2, 2, 1, 1, 2, 1, 2, 3, 2, 2, 1, 2, 2, 3]"
ABSOLVE,2.9,0.9781,30,"[2, 4, 3, 4, 2, 4, 2, 4, 4, 4, 1, 3, 2, 4, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 4, 3, 4, 3]"
ABUNDANTLY,3.0667,1.1235,30,"[1, 3, 4, 2, 3, 3, 1, 5, 3, 3, 2, 1, 4, 5, 2, 1, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 4, 2]"
ACADEMIC,3.0345,1.1885,29,"[4, 5, 4, 4, 2, 2, 3, 3, 1, 4, 4, 3, 3, 4, 4, 1, 2, 4, 1, 2, 4, 2, 2, 1, 5, 4, 4, 3, 3]"
ACCOMPLICE,3.3333,0.8692,30,"[1, 3, 4, 4, 1, 4, 4, 4, 2, 3, 3, 3, 4, 4, 4, 2, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 3]"
ACCUMULATING,2.9667,1.1686,30,"[1, 4, 3, 2, 3, 2, 1, 5, 4, 1, 4, 1, 4, 4, 3, 1, 4, 3, 4, 3, 5, 3, 3, 3, 3, 4, 4, 3, 2, 2]"
ACHIEVEMENTS,3.8621,1.1955,29,"[3, 5, 5, 5, 3, 2, 5, 5, 4, 5, 4, 1, 4, 5, 3, 4, 4, 5, 4, 1, 4, 5, 3, 5, 2, 5, 4, 3, 4]"
ACONITUM,2.7586,1.0053,29,"[2, 1, 3, 4, 2, 3, 3, 3, 3, 3, 1, 3, 3, 3, 5, 3, 3, 2, 3, 1, 4, 1, 3, 3, 3, 5, 3, 2, 2]"
ACRE,2.6552,0.9922,29,"[4, 3, 3, 1, 2, 3, 5, 3, 4, 1, 1, 3, 2, 3, 2, 3, 3, 3, 3, 1, 3, 1, 3, 3, 2, 4, 3, 2, 3]"
ACT,2.9667,1.2512,30,"[5, 3, 2, 4, 4, 2, 1, 1, 4, 4, 1, 4, 5, 3, 3, 2, 4, 3, 1, 4, 1, 4, 4, 4, 1, 3, 4, 3, 2, 3]"
ADORABLE,3.7931,0.8859,29,"[5, 4, 4, 3, 4, 4, 2, 4, 4, 5, 3, 3, 3, 3, 4, 2, 4, 4, 5, 5, 5, 4, 4, 4, 5, 4, 3, 4, 2]"
ADULTS,2.931,0.9443,29,"[3, 4, 1, 2, 4, 4, 3, 3, 2, 3, 4, 4, 2, 4, 3, 1, 3, 3, 1, 3, 4, 4, 3, 4, 2, 3, 2, 3, 3]"
ADVANTAGES,3.6667,1.0435,30,"[5, 4, 3, 3, 5, 4, 5, 5, 5, 4, 4, 4, 3, 3, 3, 2, 3, 2, 3, 5, 1, 4, 5, 4, 4, 4, 4, 4, 2, 3]"
ADVERSITY,3.6333,1.2243,30,"[1, 4, 4, 5, 4, 4, 5, 4, 5, 5, 1, 3, 4, 4, 5, 4, 4, 4, 5, 2, 4, 2, 3, 3, 1, 4, 5, 4, 2, 4]"
AEROSPACE,3.8667,1.0242,30,"[4, 5, 4, 4, 4, 4, 5, 5, 5, 3, 1, 3, 4, 5, 4, 4, 4, 5, 3, 1, 4, 4, 3, 3, 4, 5, 5, 4, 4, 3]"
AFFIDAVIT,2.8621,1.0414,29,"[1, 5, 3, 4, 4, 2, 4, 2, 3, 3, 1, 4, 3, 3, 4, 4, 2, 3, 2, 3, 2, 3, 4, 2, 4, 2, 1, 3, 2]"
AFFORD,2.8333,1.1571,30,"[2, 5, 2, 4, 3, 4, 2, 1, 3, 4, 1, 2, 3, 2, 1, 4, 2, 3, 4, 5, 3, 4, 2, 4, 1, 2, 4, 3, 2, 3]"
AFT,2.1724,0.9123,29,"[3, 3, 1, 3, 1, 3, 3, 3, 1, 1, 1, 2, 2, 2, 1, 1, 2, 3, 1, 3, 3, 2, 2, 2, 3, 3, 4, 3, 1]"
AFTERNOONS,2.7,1.0376,30,"[4, 2, 3, 2, 3, 3, 1, 4, 3, 1, 4, 1, 2, 4, 3, 3, 1, 3, 4, 4, 3, 4, 3, 3, 4, 2, 2, 2, 1, 2]"
AFTERWARD,2.4483,0.968,29,"[1, 3, 2, 2, 3, 3, 3, 5, 3, 1, 4, 1, 2, 3, 3, 2, 3, 3, 3, 1, 2, 4, 2, 3, 2, 2, 1, 2, 2]"
AGGIE,2.6207,0.715,29,"[1, 3, 3, 3, 3, 1, 3, 3, 2, 2, 4, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3]"
AHOY,3.4828,1.0706,29,"[3, 4, 4, 4, 4, 4, 3, 5, 4, 4, 4, 4, 4, 2, 5, 2, 4, 4, 1, 3, 4, 2, 2, 4, 4, 5, 4, 3, 1]"
AIRBAG,2.8966,1.1845,29,"[3, 4, 4, 3, 2, 4, 3, 4, 1, 4, 2, 1, 2, 2, 5, 2, 5, 4, 1, 3, 3, 2, 4, 4, 4, 2, 2, 3, 1]"
AIRCRAFT,3.4,1.1719,30,"[3, 4, 4, 3, 4, 4, 5, 3, 5, 3, 1, 3, 1, 4, 2, 5, 3, 5, 3, 1, 2, 4, 3, 3, 4, 5, 5, 4, 3, 3]"
AIRS,2.7333,1.0625,30,"[4, 4, 3, 2, 4, 3, 5, 1, 3, 4, 1, 3, 2, 3, 1, 3, 3, 4, 3, 2, 1, 1, 3, 3, 3, 3, 4, 2, 2, 2]"
AKRON,2.3103,0.8347,29,"[1, 3, 2, 3, 3, 2, 1, 3, 4, 1, 3, 2, 2, 3, 3, 2, 1, 3, 3, 3, 1, 2, 3, 1, 2, 2, 2, 3, 3]"
ALARMS,3.7333,1.34,30,"[5, 5, 2, 5, 4, 4, 5, 5, 4, 5, 2, 1, 5, 5, 3, 1, 5, 5, 3, 3, 4, 4, 3, 5, 4, 5, 4, 1, 3, 2]"
ALERT,4.0769,0.9841,234,"[4, 5, 4, 5, 5, 4, 4, 4, 3, 3, 5, 4, 5, 4, 4, 3, 4, 5, 5, 3, 4, 4, 3, 3, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 4, 5, 3, 5, 5, 4, 5, 5, 4, 4, 5, 4, 4, 4, 4, 4, 5, 2, 4, 5, 5, 4, 4, 4, 3, 1, 5, 4, 5, 4, 2, 4, 5, 4, 5, 4, 4, 4, 5, 5, 4, 5, 4, 5, 3, 5, 3, 3, 1, 5, 2, 4, 3, 4, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 5, 5, 3, 4, 5, 4, 5, 5, 5, 4, 5, 4, 1, 5, 4, 4, 4, 4, 3, 5, 5, 4, 5, 5, 4, 5, 4, 4, 1, 1, 5, 5, 4, 1, 4, 4, 3, 4, 5, 4, 3, 4, 5, 5, 5, 2, 4, 2, 5, 5, 3, 5, 4, 5, 3, 4, 3, 4, 1, 4, 5, 4, 4, 4, 4, 5, 5, 4, 4, 2, 5, 1, 4, 5, 4, 4, 4, 2, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 3, 3, 5, 2, 4, 5, 5, 5, 4, 4, 4, 3, 3, 4, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 4, 2, 3, 5, 4, 3, 3, 4, 4, 4, 4, 3, 5, 5, 4, 5, 5, 5, 4, 3, 4, 3, 3]"
ALIENIST,3.1,1.106,30,"[1, 4, 4, 4, 3, 3, 5, 1, 4, 4, 2, 1, 4, 4, 3, 4, 3, 3, 3, 2, 4, 2, 4, 5, 2, 3, 4, 2, 3, 2]"
ALLOTTED,2.2,0.8327,30,"[1, 3, 2, 4, 2, 2, 1, 1, 3, 2, 1, 2, 3, 1, 2, 3, 3, 3, 1, 3, 2, 3, 2, 3, 1, 3, 2, 2, 2, 3]"
ALMOST,2.4483,0.9317,29,"[1, 3, 3, 2, 2, 2, 2, 3, 4, 2, 2, 3, 3, 3, 2, 1, 3, 4, 4, 2, 2, 2, 3, 1, 1, 4, 1, 3, 3]"
ALPHANUMERIC,2.5172,1.1633,29,"[4, 4, 1, 4, 1, 3, 3, 3, 1, 1, 1, 2, 4, 4, 4, 1, 3, 4, 1, 3, 2, 2, 3, 3, 1, 3, 1, 3, 3]"
ALREADY,2.6333,0.7951,30,"[3, 3, 3, 2, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 2, 1, 4, 3, 2, 2, 3, 3]"
ALZHEIMER,2.9,1.4224,30,"[1, 1, 1, 2, 2, 4, 4, 3, 4, 1, 5, 3, 2, 4, 4, 3, 4, 5, 1, 3, 5, 2, 4, 1, 4, 5, 4, 1, 1, 3]"
AMALGAM,2.5,1.0522,28,"[1, 3, 3, 3, 3, 2, 1, 4, 2, 4, 3, 2, 3, 3, 4, 1, 3, 3, 5, 2, 2, 3, 1, 1, 2, 1, 3, 2]"
AMISH,2.2333,1.1455,30,"[1, 1, 2, 1, 4, 3, 2, 4, 1, 1, 2, 3, 1, 3, 4, 4, 2, 2, 1, 2, 1, 1, 3, 2, 3, 1, 5, 2, 2, 3]"
AMONG,2.5333,0.8844,30,"[3, 3, 3, 4, 2, 3, 3, 1, 3, 1, 1, 3, 3, 2, 2, 3, 3, 4, 3, 1, 3, 1, 3, 2, 3, 4, 2, 3, 2, 2]"
AMPUTATE,3.5667,1.6059,30,"[1, 5, 5, 5, 5, 4, 5, 4, 5, 5, 1, 1, 1, 4, 2, 5, 4, 1, 5, 4, 4, 5, 2, 5, 1, 4, 5, 2, 2, 5]"
AN,1.9667,0.9826,30,"[1, 3, 1, 1, 1, 1, 3, 3, 3, 1, 3, 1, 3, 1, 2, 1, 1, 3, 1, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 1]"
ANATOMY,3.1034,1.0617,29,"[1, 5, 3, 4, 4, 2, 4, 4, 2, 5, 2, 4, 3, 4, 3, 1, 3, 3, 4, 3, 3, 4, 3, 1, 4, 2, 3, 3, 3]"
ANEURYSM,3.6333,1.4488,30,"[1, 4, 5, 3, 5, 5, 4, 3, 2, 4, 5, 4, 1, 2, 1, 5, 5, 4, 3, 4, 5, 4, 1, 4, 5, 1, 4, 5, 5, 5]"
ANEW,2.9643,1.2672,28,"[1, 3, 4, 3, 4, 2, 3, 4, 5, 4, 1, 3, 4, 3, 5, 1, 4, 3, 3, 1, 2, 3, 1, 1, 5, 4, 3, 3]"
ANGRY,3.8201,1.3054,239,"[4, 5, 4, 5, 4, 4, 4, 4, 2, 4, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 4, 5, 2, 1, 4, 5, 4, 4, 4, 5, 1, 4, 5, 5, 2, 4, 4, 5, 5, 5, 5, 5, 2, 2, 4, 4, 5, 4, 4, 5, 4, 2, 4, 5, 5, 5, 4, 4, 1, 1, 2, 5, 5, 4, 2, 4, 4, 3, 2, 4, 1, 5, 5, 5, 5, 4, 5, 2, 5, 2, 5, 5, 2, 4, 2, 4, 4, 2, 2, 1, 5, 4, 5, 4, 5, 4, 4, 4, 2, 5, 5, 5, 4, 5, 5, 2, 5, 1, 5, 5, 3, 4, 2, 5, 5, 2, 4, 5, 2, 4, 5, 5, 5, 4, 4, 5, 1, 2, 5, 1, 1, 5, 4, 4, 1, 4, 3, 4, 2, 4, 4, 2, 5, 4, 5, 5, 4, 4, 2, 5, 5, 4, 5, 5, 5, 3, 1, 4, 5, 1, 5, 5, 5, 4, 4, 5, 4, 5, 5, 4, 1, 5, 4, 1, 4, 1, 4, 4, 3, 1, 4, 4, 5, 5, 5, 5, 5, 5, 5, 3, 1, 2, 4, 1, 4, 5, 4, 5, 4, 4, 5, 2, 4, 1, 4, 5, 4, 4, 4, 1, 5, 4, 4, 5, 4, 4, 4, 2, 4, 4, 4, 4, 2, 2, 4, 4, 5, 3, 5, 5, 5, 1, 4, 5, 2, 5, 5, 5, 4]"
ANGUS,3.2333,0.9551,30,"[4, 2, 3, 5, 3, 3, 4, 3, 4, 4, 3, 3, 2, 2, 4, 4, 3, 5, 3, 1, 3, 2, 3, 3, 2, 4, 5, 3, 4, 3]"
