unit,mean,std,n,individual_ratings
cow,5.18,1.7786613965666322,21,
cowardice,1.91,1.9211738835693897,21,
cranberry,5.82,1.2504544628399559,21,
crime,1.64,1.8040358795061298,21,
crisis,1.27,0.46709936649691397,21,
criticism,1.64,1.8040358795061298,21,
crocodile,3.36,2.377928816122437,21,
crown,2.91,2.256304299271065,21,
cucumber,5.55,1.8635254955935738,21,
cup,3.45,1.634847782739198,21,
curfew,1.64,1.8040358795061298,21,
dad,3.45,2.2962419891481978,21,
dagger,2.0,2.04939015319192,21,
damage,1.91,1.9211738835693897,21,
danger,1.45,1.2135597524338357,21,
darkness,1.36,0.9244162777371755,21,
debt,1.64,1.8040358795061298,21,
deceit,1.64,1.8040358795061298,21,
decision,1.64,1.8040358795061298,21,
deduction,1.64,1.8040358795061298,21,
definition,1.64,1.8040358795061298,21,
degree,1.64,1.8040358795061298,21,
democracy,1.91,1.9211738835693897,21,
denial,1.64,1.8040358795061298,21,
dentist,3.18,2.2723636072680717,21,
deputy,2.09,1.9211738835693897,21,
description,1.64,1.8040358795061298,21,
design,1.91,1.8140862964338522,21,
desk,2.27,2.0045403009622476,21,
despair,2.0,2.04939015319192,21,
destiny,1.64,1.8040358795061298,21,
determination,1.64,1.8040358795061298,21,
development,1.64,1.8040358795061298,21,
diamond,2.27,2.101947149236112,21,
diet,3.09,2.3432688900143512,21,
difference,1.64,1.8040358795061298,21,
dilemma,1.64,1.8040358795061298,21,
dimension,1.64,1.8040358795061298,21,
disagreement,1.64,1.8040358795061298,21,
disappointment,1.64,1.8040358795061298,21,
disaster,2.09,2.2115399817568506,21,
disgust,2.0,2.04939015319192,21,
distance,1.64,1.8040358795061298,21,
distraction,1.64,1.8040358795061298,21,
distribution,1.64,1.8040358795061298,21,
ditch,2.73,2.1019471492361124,21,
diversity,1.82,1.8340219092574557,21,
division,1.64,1.8040358795061298,21,
doctor,3.36,2.377928816122437,21,
donor,2.55,1.9679246105293957,21,
door,3.09,2.0714509627092528,21,
dove,3.45,2.2074254852038093,21,
dozen,1.64,1.8040358795061298,21,
drama,1.82,1.7786613965666325,21,
drug,3.64,2.248231628312673,21,
drum,2.18,1.3280197150781923,21,
duck,3.64,2.419616799112094,21,
duel,2.0,2.04939015319192,21,
duration,1.64,1.8040358795061298,21,
duty,1.64,1.8040358795061298,21,
dynasty,1.64,1.8040358795061298,21,
eagle,3.0,2.1908902300206643,21,
economy,1.64,1.8040358795061298,21,
edge,1.64,1.8040358795061298,21,
effect,1.64,1.8040358795061298,21,
effort,2.0,1.4142135623730951,21,
eight,1.64,1.8040358795061298,21,
electricity,1.64,1.8040358795061298,21,
elephant,4.09,2.119176512447486,21,
emergence,1.64,1.8040358795061298,21,
empire,1.82,1.7786613965666325,21,
empty,1.64,1.8040358795061298,21,
enemy,1.82,1.1677484162422844,21,
engagement,2.0,1.8973665961010275,21,
entrance,1.64,1.8040358795061298,21,
entree,4.0,2.898275349237888,21,
envy,1.64,1.8040358795061298,21,
episode,1.64,1.8040358795061298,21,
equality,1.64,1.8040358795061298,21,
error,1.64,1.8040358795061298,21,
escape,1.18,0.4045199174779453,21,
establishment,2.18,1.8877596148970779,21,
event,1.82,1.8340219092574557,21,
evidence,1.64,1.8040358795061298,21,
example,1.64,1.8040358795061298,21,
exception,1.64,1.8040358795061298,21,
exclusion,1.64,1.8040358795061298,21,
explanation,1.64,1.8040358795061298,21,
expression,1.64,1.8040358795061298,21,
extent,1.64,1.8040358795061298,21,
eyeball,2.55,1.9679246105293957,21,
fabric,3.91,2.256304299271065,21,
fact,1.64,1.8040358795061298,21,
factory,3.18,1.8877596148970779,21,
faith,2.18,2.0404990476930793,21,
fallacy,1.64,1.8040358795061298,21,
fantasy,1.64,1.8040358795061298,21,
fat,3.09,2.467976720090587,21,
fate,1.64,1.8040358795061298,21,
father,3.55,2.381748784554591,21,
fear,2.0,2.04939015319192,21,
fifteen,1.64,1.8040358795061298,21,
fight,2.0,2.04939015319192,21,
figure,2.27,2.101947149236112,21,
file,2.09,2.0225995873897262,21,
fireplace,4.09,2.385562636132007,21,
fisherman,4.55,2.3393860888547815,21,
flask,4.55,2.2962419891481978,21,
flavor,4.45,2.6215886925159086,21,
fog,3.27,2.0538212722098823,21,
food,6.73,0.4670993664969138,21,
football,3.64,2.335496832484569,21,
forest,5.18,2.0889318714683736,21,
form,1.64,1.8040358795061298,21,
foundation,2.73,2.0538212722098823,21,
fountain,3.36,2.2482316283126735,21,
freedom,2.09,2.2115399817568506,21,
friendship,2.09,2.0225995873897262,21,
frog,3.55,2.1616492020508953,21,
frustration,1.64,1.8040358795061298,21,
future,1.73,1.7939291563999449,21,
gender,2.73,2.412090756622109,21,
genuine,2.09,2.2115399817568506,21,
germ,2.27,1.9540168418367887,21,
gesture,1.64,1.8040358795061298,21,
girl,4.18,2.522624895547565,21,
gorilla,3.64,2.1574395598823743,21,
grammar,1.64,1.8040358795061298,21,
grandmother,4.0,2.0976176963403033,21,
grass,5.27,1.7372915179041826,21,
grasshopper,3.18,1.8877596148970779,21,
grief,1.64,1.8040358795061298,21,
group,2.0,1.8973665961010275,21,
guess,1.73,1.7939291563999449,21,
guide,1.64,1.8040358795061298,21,
guilt,1.64,1.8040358795061298,21,
gun,2.27,1.8488325554743508,21,
handkerchief,2.09,1.7580981459830651,21,
hat,3.09,2.3001976199685736,21,
hatred,1.64,1.8040358795061298,21,
