unit,mean,std,n,individual_ratings
Antoinette,3.7,1.3429,30,"[4, 5, 2, 3, 5, 1, 3, 1, 3, 5, 5, 5, 5, 1, 3, 3, 3, 5, 4, 5, 5, 4, 4, 5, 3, 2, 5, 5, 4, 3]"
Ariel,3.4,1.5222,30,"[3, 4, 5, 5, 3, 3, 3, 5, 4, 1, 5, 5, 3, 1, 4, 2, 5, 4, 5, 3, 5, 5, 2, 2, 1, 5, 2, 1, 1, 5]"
Aristotle,4.1,1.1552,30,"[3, 4, 3, 4, 3, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 4, 3, 5, 1, 2, 5, 5, 2, 5, 5]"
Arnold Schwazenegger,4.9333,0.2537,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
Arturo,2.2667,1.3113,30,"[1, 4, 2, 2, 1, 1, 2, 5, 5, 2, 5, 3, 4, 1, 1, 1, 2, 2, 2, 1, 4, 1, 1, 2, 1, 2, 2, 3, 3, 2]"
Ascorbic Acid,3.3667,1.2726,30,"[3, 4, 4, 1, 4, 5, 3, 2, 4, 4, 3, 3, 5, 5, 2, 5, 2, 1, 3, 3, 5, 4, 3, 2, 5, 5, 3, 3, 1, 4]"
Ash Wednesday,3.6429,1.3113,28,"[2, 4, 5, 5, 3, 5, 2, 5, 4, 5, 5, 5, 4, 3, 1, 2, 5, 3, 4, 5, 3, 5, 2, 2, 5, 3, 3, 2]"
Atari,4.7667,0.7739,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2]"
Aurora,3.8333,1.3917,30,"[2, 2, 3, 3, 5, 5, 3, 4, 4, 1, 4, 4, 5, 1, 5, 5, 4, 5, 5, 4, 1, 5, 2, 5, 5, 3, 5, 5, 5, 5]"
Babe Ruth,4.4333,0.8976,30,"[5, 5, 5, 5, 5, 4, 5, 3, 4, 5, 2, 4, 5, 5, 2, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 4, 5, 5, 4]"
