unit,mean,std,n,individual_ratings
evolving,2.6923,1.3407,39,"[3, 1, 4, 1, 2, 1, 2, 2, 3, 4, 4, 3, 2, 1, 2, 1, 5, 4, 3, 1, 5, 2, 1, 3, 4, 1, 3, 4, 5, 4, 4, 3, 3, 1, 4, 1, 1, 4, 3]"
fashioning,3.3750,1.3528,40,"[2, 4, 5, 1, 4, 4, 4, 2, 4, 3, 5, 3, 5, 1, 5, 4, 2, 2, 4, 5, 4, 5, 4, 1, 2, 2, 5, 1, 1, 3, 4, 5, 4, 3, 4, 2, 4, 5, 3, 4]"
fermenting,3.2500,1.4806,40,"[3, 1, 4, 1, 4, 3, 4, 4, 3, 3, 5, 4, 1, 5, 3, 1, 5, 1, 2, 1, 4, 3, 3, 5, 5, 5, 4, 4, 5, 1, 1, 5, 5, 3, 1, 4, 4, 2, 5, 3]"
flickering,3.0750,0.9971,40,"[3, 2, 4, 1, 3, 3, 2, 2, 2, 3, 4, 4, 3, 3, 4, 3, 3, 5, 2, 3, 3, 2, 2, 5, 3, 3, 4, 3, 3, 4, 4, 4, 5, 2, 1, 2, 4, 3, 4, 3]"
fraying,3.6000,1.1277,40,"[4, 5, 4, 3, 3, 3, 2, 3, 2, 3, 5, 5, 5, 4, 3, 5, 3, 4, 3, 4, 3, 3, 1, 5, 5, 4, 2, 4, 4, 4, 1, 5, 5, 4, 4, 2, 4, 3, 5, 3]"
growing,2.6500,1.2720,40,"[3, 1, 2, 2, 2, 3, 3, 3, 1, 3, 1, 3, 2, 5, 1, 3, 5, 3, 1, 3, 3, 1, 5, 5, 3, 2, 3, 1, 5, 5, 3, 3, 3, 2, 1, 1, 2, 2, 3, 3]"
hanging,3.3000,0.8829,40,"[3, 4, 5, 1, 3, 3, 3, 3, 3, 3, 5, 3, 3, 5, 3, 2, 3, 5, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 2, 5, 4, 2, 3, 3]"
hobbling,3.1500,1.2100,40,"[2, 2, 3, 1, 4, 4, 3, 2, 4, 5, 1, 4, 4, 5, 2, 5, 3, 3, 4, 4, 2, 3, 5, 1, 4, 3, 2, 1, 4, 3, 4, 3, 2, 4, 2, 2, 4, 5, 4, 3]"
imagining,2.5000,1.3397,40,"[1, 1, 2, 2, 5, 5, 4, 3, 2, 1, 3, 1, 5, 2, 1, 3, 2, 1, 5, 3, 4, 3, 5, 1, 2, 3, 2, 1, 1, 3, 2, 1, 3, 2, 1, 1, 3, 4, 3, 3]"
lolling,2.3750,0.8679,40,"[1, 3, 1, 1, 4, 3, 2, 2, 3, 3, 3, 2, 4, 1, 2, 2, 2, 3, 2, 3, 3, 3, 3, 1, 3, 1, 1, 3, 2, 3, 2, 4, 2, 2, 2, 3, 3, 2, 2, 3]"
misspelling,2.5500,1.5351,40,"[2, 1, 1, 1, 2, 5, 4, 2, 2, 2, 2, 5, 5, 1, 1, 5, 2, 2, 3, 5, 4, 5, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 4, 5, 4, 2, 2]"
occurring,2.5500,0.9858,40,"[3, 3, 3, 1, 4, 3, 2, 4, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 1, 4, 1, 1, 4, 4, 3, 1, 3, 3, 2, 3, 1, 3, 3, 1, 2, 2, 3, 3, 1]"
opening,3.3500,0.8930,40,"[3, 5, 3, 1, 4, 3, 3, 4, 4, 5, 5, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 5, 3, 3]"
perfecting,3.3250,1.3847,40,"[3, 2, 5, 1, 4, 3, 4, 2, 3, 3, 5, 4, 5, 1, 2, 5, 3, 3, 5, 3, 4, 5, 5, 1, 2, 3, 5, 1, 1, 5, 4, 3, 5, 3, 3, 1, 4, 4, 3, 5]"
