word,mean,std,n
array,2.938,1.676,32
arrest,5.4,1.571,35
arrested,4.677,1.658,34
arrive,3.909,1.712,33
arrogant,3.969,1.976,32
arrow,6.719,0.45,32
arrows,6.324,0.931,34
arse,6.294,0.859,34
arsehole,5.677,1.71,34
arson,4.706,1.807,34
art,5.794,1.41,34
artist,6.212,0.913,33
arts,4.171,1.844,35
ascend,4.647,1.588,34
ascent,4.257,1.499,35
ashamed,3.303,1.527,33
ashes,5.657,1.548,35
aspect,1.943,1.17,35
aspirin,5.818,1.336,33
ass,6.177,1.124,34
ass (donkey),6.743,0.498,35
ass (insult),2.807,1.635,31
assassin,5.688,1.446,32
assassinate,5.333,1.589,33
assault,5.0,1.436,32
asshole,4.771,2.153,35
assist,3.344,1.492,32
assistant,5.371,1.197,35
assuring,2.719,1.256,32
asteroid,5.677,1.509,34
asthma,4.829,1.483,35
astonish,3.088,1.597,34
astonished,3.4,1.76,35
astronaut,6.788,0.537,33
astronomer,4.807,1.533,31
astronomy,5.059,1.781,34
athletic,5.25,1.677,32
athletics,5.735,1.22,34
atmosphere,3.594,1.8,32
atom,3.765,2.402,34
atomic,5.303,1.899,33
atoms,4.636,2.46,33
atrocious,1.941,1.11,34
atrocity,3.441,1.85,34
attack,5.061,1.413,33
attacker,5.273,1.582,33
attempt,3.0,1.656,35
attendant,5.086,1.461,35
attention,3.457,1.627,35
attic,5.967,1.048,30
attitude,3.0,1.859,33
attract,3.629,1.605,35
attraction,3.824,1.806,34
attractive,4.774,1.844,31
attribute,2.771,1.79,35
auction,6.029,0.941,35
auctioneer,5.194,1.401,31
audience,6.065,0.948,31
auditorium,6.061,1.496,33
aunt,5.765,1.628,34
authentic,3.212,1.95,33
author,4.714,1.766,35
autopsy,5.152,1.559,33
autumn,6.171,0.971,35
avalanche,5.964,0.944,28
avenge,2.588,1.115,34
avenue,5.063,1.54,32
award,5.647,1.135,34
awarded,3.065,1.458,31
aware,2.588,1.353,34
away,2.939,1.476,33
awe,3.114,1.848,35
awesome,2.719,1.605,32
awful,3.0,1.663,34
awkward,3.333,1.717,33
axe,6.364,1.039,33
axle,5.464,1.762,28
baboon,6.588,0.974,34
baby,6.593,0.562,27
background,3.424,1.875,33
bacon,6.882,0.322,34
bacteria,4.824,1.947,34
bad,3.6,1.808,35
badge,6.441,0.735,34
badger,6.364,1.389,33
bag,6.484,0.615,31
baggage,6.0,1.313,29
bail,3.229,1.475,35
bait,4.733,1.436,30
bake,6.029,0.985,34
baker,6.371,0.759,35
bald,6.281,1.352,32
ball,6.643,0.666,28
ball (dance),5.686,1.115,35
ball (sphere),6.514,0.906,35
balloon,6.581,0.834,31
ballroom,6.371,0.897,35
bamboo,6.5,0.901,32
ban,3.129,1.641,31
banal,2.211,1.055,19
banana,6.788,0.64,33
band,6.032,0.967,31
band (music),5.971,1.134,35
band (ribbon),6.059,1.514,34
bandage,6.265,1.244,34
bandit,5.033,1.354,30
bandits,5.412,1.517,34
bang,4.758,1.741,33
banjo,6.324,1.021,34
bank,6.086,1.105,35
bank (money),6.484,1.215,31
bank (rely),2.875,1.798,32
bank (river),6.061,0.814,33
banker,5.882,1.051,34
bankrupt,3.606,1.984,33
banks,5.971,1.224,34
banks (money),5.735,1.501,34
banks (river),6.394,0.983,33
banner,5.969,1.212,32
bar,6.529,0.737,34
bar (legal),3.818,1.833,33
bar (metal),6.235,0.941,34
bar (musical),4.909,1.929,33
bar (pub),6.4,0.901,35
bare,4.29,1.372,31
barely,2.618,1.627,34
barge,5.273,1.441,33
barge (boat),6.486,0.874,35
barge (push),5.03,1.586,33
bark,5.086,1.746,35
bark (dog),5.257,1.574,35
bark (tree),6.324,1.021,34
barley,5.853,1.438,34
barn,6.618,0.908,34
barnacle,5.71,1.419,31
baroque,3.583,1.73,24
barrage,4.037,2.027,27
barrel,6.469,1.03,32
barrier,5.706,1.425,34
basement,6.147,1.331,34
basket,6.235,1.238,34
basketball,6.647,0.836,34
bass,4.765,1.733,34
bass (fish),5.706,1.425,34
bass (guitar),6.171,1.32,35
bassoon,5.24,1.861,25
bastard,3.032,1.805,31
bastards,2.677,1.634,31
bat,6.533,0.67,30
bat (animal),6.824,0.381,34
bat (club),6.212,1.094,33
bath,6.654,0.617,26
bathroom,6.677,0.527,34
battered,5.031,1.334,32
battery,6.147,1.353,34
battle,5.686,1.45,35
bayonet,6.219,1.317,32
bazooka,5.677,1.711,31
beach,6.5,0.885,30
bead,5.909,1.505,33
beagle,6.438,0.864,32
beak,6.394,0.952,33
beaker,6.03,1.446,33
bean,6.629,0.929,35
bear,6.571,1.08,63
beard,6.656,0.667,64
beast,5.563,1.345,64
beat,4.4,1.76,35
beat (hit),5.125,1.409,32
beat (mix),5.114,1.635,35
beat (rhythm),3.714,2.159,35
beaten,4.546,1.689,33
beautician,5.281,1.205,32
beautiful,5.412,1.629,34
beauty,4.313,1.55,32
beaver,6.5,0.829,32
become,2.063,1.298,32
bed,6.656,0.988,32
bee,6.933,0.249,30
beef,6.531,0.612,32
beehive,6.303,0.969,33
beer,6.714,0.564,35
beet,4.323,1.957,31
beetle,6.706,0.57,34
befall,2.833,1.344,30
beg,4.229,1.64,35
beggar,6.258,1.077,31
begin,2.5,1.399,34
beginning,2.613,1.79,31
behalf,2.765,1.646,34
behave,3.344,1.471,32
behaviour,3.735,1.481,34
behind,4.25,2.046,32
beige,5.849,1.52,33
belfry,4.177,2.203,17
belief,3.143,1.775,35
believe,2.29,1.325,31
bell,6.735,0.503,34
belly,6.067,0.892,30
belong,2.455,1.104,33
belt,6.344,1.337,32
bench,6.606,0.814,33
bend,4.914,1.663,35
