word,mean,std,n
charge (card),3.818,1.604,33
charge (dependent),3.688,1.96,32
charge (electric),4.636,1.772,33
charge (price),4.529,1.753,34
charge (rush),4.29,1.419,31
charity,4.0,1.867,35
charlatan,3.75,1.745,28
charm,2.581,1.158,31
charm (lucky),3.294,1.918,34
charm (social allure),3.029,1.404,34
charming,3.121,1.805,33
chasm,4.269,1.892,26
chauffeur,6.25,0.935,32
cheap,3.03,1.766,33
check,4.257,1.679,35
cheek,5.939,1.434,33
cheer,3.914,1.697,35
cheer (happiness),3.6,1.744,35
cheer (support),4.515,1.417,33
cheerful,3.618,1.895,34
cheers,3.514,1.273,35
cheese,6.704,0.711,27
cheetah,6.5,0.935,32
chef,6.618,0.595,34
chemist,6.4,0.641,35
chemistry,4.97,1.749,33
chemistry (rapport),3.212,1.887,33
chemistry (science),4.657,1.912,35
cheque,6.364,1.068,33
cherry,6.6,0.764,35
chess,6.088,1.039,34
chest,6.033,0.948,30
chest (cabinet),6.2,1.305,35
chest (torso),6.706,0.666,34
chestnut,6.4,0.869,35
chew,4.771,1.569,35
chewy,4.194,1.354,31
chief,5.029,1.562,34
chihuahua,6.636,0.979,33
child,6.167,0.969,30
children,6.094,1.011,32
chime,4.879,1.754,33
chimpanzee,6.815,0.388,27
chin,6.655,0.658,29
chip,5.971,1.317,34
chipmunk,6.824,0.452,34
chips,6.464,0.778,28
chisel,6.469,0.968,32
chocolate,6.5,0.849,34
choir,5.636,1.322,33
choke,4.344,1.707,32
choked,4.727,1.601,33
choose,2.677,1.181,34
choral,4.179,1.56,28
chord,5.0,1.609,34
chose,2.875,1.293,32
Christmas,5.086,1.811,35
chubby,4.829,1.699,35
chunk,4.657,1.453,35
church,6.0,1.32,31
chute,5.906,1.308,32
cigar,6.621,0.665,29
cigarette,6.739,0.606,23
cinema,6.571,0.688,35
circle,4.931,1.701,29
circuit,5.0,1.531,35
circular,5.29,1.61,31
circulate,3.371,1.495,35
circulation,4.333,1.78,36
circumstances,2.938,1.58,32
circus,6.344,0.956,32
citation,4.059,1.814,34
cite,3.548,1.682,31
city,5.929,1.067,28
civilian,5.031,1.51,32
civilization,3.647,1.813,34
civilized,3.324,1.64,34
clam,5.657,1.706,35
clan,5.235,1.285,34
clarinet,6.677,0.794,34
class,4.514,1.592,35
class (school),5.235,1.373,34
class (status),2.515,1.617,33
classical,3.121,1.409,33
classify,3.03,1.267,33
clause,3.75,1.601,32
claw,5.968,1.257,31
claws,6.387,0.83,31
claymore,5.474,1.568,19
clean,4.667,1.804,33
cleaner,5.727,1.562,33
cleaner (maid),6.294,0.787,34
cleaner (more clean),3.829,1.483,35
clear,3.441,1.752,34
clergy,5.636,1.648,33
clever,3.286,1.426,35
click,5.343,1.585,35
client,4.438,1.321,32
cliff,6.571,0.871,35
climate,4.061,1.906,33
climax,3.667,1.837,33
climb,4.771,1.725,35
climber,6.029,0.822,34
cling,3.871,1.408,31
clingy,3.059,1.305,34
cloak,6.5,0.916,34
clock,6.467,1.087,30
clone,4.194,1.533,31
close,3.531,1.677,32
close (near),3.75,1.521,32
close (stairwell),5.969,1.212,32
closure,2.771,1.623,35
cloth,6.406,1.027,32
clothes,6.382,1.189,34
clothing,6.242,0.74,33
cloud,5.594,1.32,32
cloud (sky),6.057,1.473,35
cloud (spoil),3.645,1.617,31
cloudy,5.086,1.628,35
clove,5.943,1.17,35
clover,5.697,1.403,33
clown,6.339,0.949,62
club,5.886,1.347,35
club (card suit),5.469,1.695,32
club (disco),6.324,0.83,34
club (hit),5.581,1.314,31
club (organisation),5.543,1.317,35
club (tool),6.469,1.0,32
clue,3.394,1.687,33
clueless,2.294,1.177,34
clumsy,2.943,1.264,35
cluster,4.588,1.216,34
clutch,5.441,1.648,34
clutch (bag),6.514,0.841,35
clutch (car),6.4,0.869,35
clutch (grab),4.514,1.628,35
clutter,4.697,1.642,33
coach,5.912,1.147,34
coach (bus),6.735,0.559,34
coach (trainer),5.807,1.09,31
coarse,4.061,1.455,33
coast,6.015,0.969,65
coast (beach),6.515,0.821,33
coast (glide),4.061,1.613,33
coaster,5.636,1.453,33
coat,6.625,1.139,32
coat (cover),5.294,1.654,34
coat (jacket),6.618,0.728,34
cobble,5.412,1.478,34
cock,6.288,1.07,66
cock (bird),6.4,0.869,35
cock (dick),6.114,1.617,35
cock (tilt),3.941,1.552,34
cockerel,6.556,0.916,27
cockney,4.156,1.922,32
cockroach,6.7,0.526,30
cocktail,6.382,0.908,34
cod,6.484,1.043,31
code,4.882,1.641,34
coerce,3.533,1.477,30
coffee,6.324,1.021,34
coffin,6.844,0.507,32
coin,6.546,0.924,33
coke,6.235,1.059,34
coke (coal),5.563,1.54,32
coke (cocaine),6.412,1.032,34
coke (cola),6.758,0.494,33
cola,6.343,1.013,35
cold,5.0,1.773,35
cold (illness),5.286,1.343,35
cold (temperature),4.424,1.634,33
collage,5.257,1.73,35
collar,6.406,0.824,32
